iter	Passed	Remaining
0	5	5625
1	11	5733
2	17	5767
3	22	5511
4	28	5678
5	33	5553
6	38	5430
7	43	5450
8	48	5306
9	52	5194
10	57	5178
11	64	5308
12	68	5214
13	73	5186
14	78	5179
15	83	5105
16	86	5030
17	92	5028
18	96	4960
19	100	4910
20	104	4855
21	109	4850
22	112	4799
23	117	4768
24	122	4762
25	126	4721
26	130	4687
27	133	4650
28	139	4656
29	143	4627
30	147	4608
31	153	4628
32	158	4636
33	162	4615
34	167	4624
35	174	4680
36	180	4688
37	185	4690
38	191	4712
39	196	4710
40	201	4715
41	207	4735
42	212	4727
43	217	4716
44	222	4716
45	226	4704
46	231	4689
47	236	4691
48	241	4678
49	245	4663
50	249	4650
51	254	4647
52	259	4628
53	263	4607
54	267	4591
55	271	4576
56	275	4562
57	279	4543
58	284	4535
59	289	4535
60	293	4522
61	298	4511
62	302	4502
63	306	4489
64	310	4473
65	315	4465
66	316	4412
67	320	4399
68	324	4384
69	328	4370
70	333	4367
71	338	4365
72	343	4358
73	347	4354
74	353	4359
75	358	4356
76	362	4346
77	367	4346
78	372	4342
79	377	4337
80	383	4345
81	387	4341
82	392	4334
83	397	4339
84	402	4331
85	406	4323
86	411	4313
87	415	4309
88	420	4304
89	424	4296
90	430	4301
91	435	4293
92	439	4285
93	444	4286
94	449	4284
95	455	4284
96	461	4295
97	466	4292
98	471	4287
99	475	4283
100	480	4279
101	485	4271
102	489	4265
103	495	4267
104	500	4263
105	504	4257
106	510	4263
107	515	4261
108	520	4257
109	526	4259
110	530	4251
111	535	4244
112	539	4237
113	544	4230
114	548	4221
115	552	4211
116	556	4202
117	561	4193
118	565	4183
119	569	4173
120	573	4165
121	577	4156
122	582	4150
123	586	4140
124	590	4134
125	595	4127
126	599	4118
127	603	4112
128	608	4111
129	614	4115
130	620	4113
131	626	4117
132	631	4114
133	637	4122
134	644	4130
135	650	4129
136	656	4135
137	662	4136
138	667	4136
139	674	4140
140	679	4141
141	684	4138
142	690	4139
143	695	4133
144	700	4128
145	705	4129
146	710	4124
147	715	4119
148	721	4122
149	726	4117
150	731	4110
151	736	4107
152	740	4100
153	745	4093
154	749	4086
155	754	4080
156	758	4071
157	762	4062
158	766	4053
159	770	4046
160	775	4038
161	779	4030
162	783	4024
163	787	4016
164	792	4008
165	796	3999
166	800	3993
167	804	3986
168	809	3978
169	812	3969
170	817	3964
171	822	3957
172	826	3948
173	830	3943
174	835	3941
175	840	3936
176	845	3931
177	851	3930
178	855	3923
179	859	3916
180	864	3912
181	869	3907
182	874	3903
183	880	3903
184	885	3899
185	889	3892
186	893	3885
187	898	3880
188	902	3872
189	906	3864
190	910	3856
191	915	3853
192	919	3846
193	923	3838
194	927	3830
195	932	3825
196	936	3818
197	940	3809
198	945	3805
199	949	3797
200	953	3790
201	957	3782
202	961	3776
203	965	3769
204	970	3761
205	974	3754
206	980	3754
207	985	3751
208	989	3744
209	994	3739
210	998	3733
211	1002	3726
212	1007	3720
213	1012	3718
214	1016	3712
215	1020	3704
216	1024	3698
217	1029	3692
218	1033	3686
219	1038	3680
220	1042	3674
221	1046	3668
222	1051	3662
223	1054	3654
224	1059	3648
225	1063	3642
226	1067	3635
227	1071	3629
228	1076	3623
229	1080	3615
230	1084	3609
231	1088	3602
232	1093	3598
233	1097	3591
234	1101	3586
235	1105	3580
236	1110	3575
237	1114	3569
238	1119	3563
239	1123	3557
240	1127	3551
241	1131	3545
242	1135	3538
243	1140	3535
244	1145	3530
245	1150	3525
246	1154	3520
247	1160	3518
248	1165	3515
249	1170	3510
250	1174	3506
251	1179	3500
252	1183	3494
253	1188	3490
254	1193	3485
255	1197	3480
256	1201	3474
257	1207	3472
258	1212	3467
259	1216	3462
260	1221	3457
261	1225	3451
262	1229	3445
263	1233	3439
264	1238	3435
265	1242	3429
266	1246	3423
267	1250	3416
268	1255	3413
269	1260	3407
270	1265	3403
271	1270	3399
272	1274	3392
273	1278	3386
274	1282	3379
275	1286	3375
276	1290	3368
277	1294	3362
278	1298	3356
279	1303	3352
280	1308	3349
281	1313	3344
282	1318	3340
283	1322	3334
284	1326	3327
285	1330	3321
286	1335	3317
287	1339	3311
288	1343	3304
289	1348	3300
290	1352	3296
291	1357	3291
292	1362	3286
293	1366	3282
294	1370	3276
295	1374	3270
296	1378	3264
297	1383	3259
298	1387	3253
299	1392	3248
300	1396	3242
301	1401	3238
302	1405	3233
303	1409	3226
304	1413	3221
305	1418	3217
306	1423	3212
307	1427	3207
308	1432	3203
309	1436	3198
310	1441	3192
311	1445	3186
312	1449	3181
313	1453	3176
314	1457	3170
315	1462	3165
316	1467	3161
317	1471	3155
318	1475	3149
319	1480	3145
320	1484	3140
321	1489	3135
322	1493	3130
323	1498	3125
324	1502	3120
325	1506	3115
326	1510	3109
327	1515	3105
328	1520	3100
329	1524	3095
330	1529	3092
331	1533	3086
332	1537	3080
333	1542	3075
334	1547	3071
335	1551	3066
336	1555	3060
337	1560	3055
338	1564	3050
339	1568	3044
340	1572	3039
341	1577	3034
342	1581	3029
343	1585	3024
344	1589	3018
345	1594	3014
346	1598	3008
347	1602	3003
348	1607	2999
349	1612	2995
350	1616	2989
351	1620	2983
352	1625	2979
353	1630	2975
354	1634	2969
355	1638	2964
356	1643	2959
357	1647	2955
358	1651	2949
359	1656	2944
360	1660	2939
361	1665	2934
362	1669	2929
363	1674	2924
364	1678	2919
365	1682	2913
366	1686	2908
367	1691	2904
368	1695	2898
369	1699	2893
370	1703	2887
371	1708	2883
372	1712	2878
373	1717	2874
374	1721	2869
375	1725	2864
376	1729	2858
377	1734	2853
378	1738	2848
379	1742	2843
380	1746	2837
381	1750	2832
382	1755	2827
383	1759	2821
384	1763	2816
385	1767	2811
386	1772	2807
387	1776	2802
388	1780	2796
389	1784	2790
390	1789	2786
391	1793	2781
392	1797	2776
393	1802	2771
394	1806	2767
395	1811	2762
396	1815	2757
397	1819	2752
398	1824	2747
399	1827	2741
400	1831	2736
401	1836	2731
